BASIN,LOCATION,RIVMILE,COLL_DATE,COLLECT,Replicate,MACRO_GENSPECIES,INDIV
12,SCHO,86.6,9/9/2015,1,1,Stenacron sp.,1
12,SCHO,86.6,9/9/2015,1,1,Tanytarsus sp.,1
12,SCHO,86.6,9/9/2015,1,1,Thienemannimyia gr. spp.,2
12,SCHO,86.6,9/9/2015,1,1,Tvetenia vitracies,1
12,SCHO,86.6,9/9/2015,1,1,Undetermined Enchytraeidae,1
12,SCHO,86.6,9/9/2015,1,1,Undetermined Lumbriculidae,2
12,SCHO,87.0,9/9/2015,1,1,Acentrella sp.,1
12,SCHO,87.0,9/9/2015,1,1,Alloperla sp.,4
12,SCHO,87.0,9/9/2015,1,1,Boyeria sp.,1
12,SCHO,87.0,9/9/2015,1,1,Cambarus sp.,1
12,SCHO,87.0,9/9/2015,1,1,Ceratopsyche morosa,3
12,SCHO,87.0,9/9/2015,1,1,Ceratopsyche slossonae,2
12,SCHO,87.0,9/9/2015,1,1,Ceratopsyche sparna,2
12,SCHO,87.0,9/9/2015,1,1,Cheumatopsyche sp.,3
12,SCHO,87.0,9/9/2015,1,1,Cricotopus bicinctus,3
12,SCHO,87.0,9/9/2015,1,1,Cricotopus vierriensis,3
12,SCHO,87.0,9/9/2015,1,1,Dicranota sp.,4
12,SCHO,87.0,9/9/2015,1,1,Dolophilodes sp.,1
12,SCHO,87.0,9/9/2015,1,1,Dugesia sp.,2
12,SCHO,87.0,9/9/2015,1,1,Ephemerella sp.,3
12,SCHO,87.0,9/9/2015,1,1,Hexatoma sp.,4
12,SCHO,87.0,9/9/2015,1,1,Hydropsyche betteni,5
12,SCHO,87.0,9/9/2015,1,1,Isonychia sp.,2
12,SCHO,87.0,9/9/2015,1,1,Maccaffertium vicarium,4
12,SCHO,87.0,9/9/2015,1,1,Micropsectra dives gr.,7
12,SCHO,87.0,9/9/2015,1,1,Nais bretscheri,3
12,SCHO,87.0,9/9/2015,1,1,Nais sp.,3
12,SCHO,87.0,9/9/2015,1,1,Nigronia serricornis,2
12,SCHO,87.0,9/9/2015,1,1,Optioservus sp.,6
12,SCHO,87.0,9/9/2015,1,1,Paraleptophlebia sp.,1
12,SCHO,87.0,9/9/2015,1,1,Parametriocnemus sp.,8
12,SCHO,87.0,9/9/2015,1,1,Paratanytarsus sp.,2
12,SCHO,87.0,9/9/2015,1,1,Pisidium sp.,1
12,SCHO,87.0,9/9/2015,1,1,Polypedilum aviceps,5
12,SCHO,87.0,9/9/2015,1,1,Pteronarcys biloba,2
12,SCHO,87.0,9/9/2015,1,1,Rheotanytarsus exiguus gr.,1
12,SCHO,87.0,9/9/2015,1,1,Simulium sp.,1
12,SCHO,87.0,9/9/2015,1,1,Tanytarsus glabrescens gr.,1
12,SCHO,87.0,9/9/2015,1,1,Thienemannimyia gr. spp.,1
12,SCHO,87.0,9/9/2015,1,1,Tvetenia vitracies,2
12,SCHO,87.0,9/9/2015,1,1,Undetermined Lumbriculidae,4
12,SCHO,87.0,9/9/2015,1,1,Undetermined Orthocladiinae,2
